Id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,
1,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,1,2,TRUE,TRUE,3,6,2,6,3,6,1,6,3,6,3,6,1,6,2,6,
2,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,1,6,TRUE,TRUE,3,6,2,6,3,6,3,6,3,6,3,6,1,6,3,6,
3,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,1,2,TRUE,TRUE,4,6,3,6,4,1,3,6,4,1,3,6,3,6,4,1,
4,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,1,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,2,6,3,6,4,1,
5,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,1,6,TRUE,TRUE,3,6,2,6,1,6,3,6,3,6,3,6,3,6,3,6,
6,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,CHOCTAW,2054599100,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,3,6,4,1,
7,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,1,7,TRUE,TRUE,3,4,3,6,4,1,3,6,2,6,4,1,4,1,4,1,
8,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,9074433311,3,7,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
9,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
10,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,3,7,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
11,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,1,1,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,3,6,4,1,4,1,
12,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,1,9,FALSE,TRUE,3,4,4,1,3,6,3,6,2,6,3,6,4,1,4,1,
13,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,5203627003,1,7,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
14,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,1,1,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
15,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,1,1,TRUE,TRUE,3,4,4,1,4,1,3,6,3,6,2,6,4,1,4,1,
16,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,9287376000,3,7,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
17,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,5205623321,3,2,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
18,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,9287554541,3,10,FALSE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,3,6,4,1,
19,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,5015523000,1,10,TRUE,TRUE,2,6,2,6,2,6,2,6,2,6,3,6,3,6,3,6,
20,SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,CRAWFORD,4794743401,1,6,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,3,6,1,6,4,1,
21,CHI ST VINCENT MORRILTON,#4 HOSPITAL DRIVE,MORRILTON,AR,72110,CONWAY,5019772300,3,8,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
22,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,8702655351,3,10,TRUE,TRUE,3,6,3,6,4,1,3,6,1,6,3,6,3,6,2,6,
23,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,1,2,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,2,6,4,1,
24,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,MONTEREY,8316245311,1,10,TRUE,TRUE,5,6,3,6,3,6,1,6,1,6,3,6,3,6,1,6,
25,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,1,10,TRUE,TRUE,4,6,1,6,1,6,3,6,1,6,3,6,3,6,2,6,
26,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,1,10,TRUE,TRUE,3,6,2,6,1,6,1,6,2,6,3,6,2,6,1,6,
27,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,1,9,TRUE,FALSE,4,6,3,6,3,6,1,6,3,6,3,6,2,6,1,6,
28,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,1,9,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,2,6,3,6,
29,SONOMA DEVELOPMENTAL CENTER,15000 ARNOLD DRIVE   /  P O BOX 1493,ELDRIDGE,CA,95431,SONOMA,7079386000,1,1,FALSE,FALSE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
30,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,9493641400,1,10,TRUE,TRUE,3,6,3,6,2,6,1,6,2,6,3,6,2,6,2,6,
31,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,RIVERSIDE,9516798888,1,2,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,2,6,4,1,
32,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,5624017022,1,3,FALSE,FALSE,6,2,4,1,3,6,4,1,3,6,4,1,4,1,4,1,
33,MAMMOTH HOSPITAL,85 SIERRA PARK ROAD PO BOX 660,MAMMOTH LAKES,CA,93546,MONO,7609343311,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,1,6,4,1,4,1,4,1,
34,FRANK R HOWARD MEMORIAL HOSPITAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,7074563031,3,8,TRUE,TRUE,4,4,3,6,3,6,3,6,1,6,4,1,4,1,4,1,
35,ST HELENA HOSPITAL-CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,7079946486,3,8,TRUE,TRUE,2,4,3,6,4,1,3,6,2,6,4,1,4,1,4,1,
36,CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CENTER RD, 5TH FLOOR",MISSION VIEJO,CA,92691,ORANGE,9493652408,2,10,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
37,PIONEERS MEDICAL CENTER,100 PIONEERS MEDICAL CENTER DRIVE,MEEKER,CO,81641,RIO BLANCO,9708785047,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
38,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,6010,HARTFORD,8605853000,1,10,TRUE,TRUE,3,6,3,6,1,6,2,6,1,6,3,6,3,6,1,6,
39,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,NEW CASTLE,3024214100,1,10,TRUE,FALSE,4,6,3,6,1,6,3,6,2,6,3,6,2,6,3,6,
