Hospital,Mortality,Safety,Readmission,Patient,Effective,Timeliness,Efficient
1,1,4806,9611,14416,19221,24026,28831
2,2,4807,9612,14417,19222,24027,28832
3,3,4808,9613,14418,19223,24028,28833
4,4,4809,9614,14419,19224,24029,28834
5,5,4810,9615,14420,19225,24030,28835
6,6,4811,9616,14421,19226,24031,28836
7,7,4812,9617,14422,19227,24032,28837
8,8,4813,9618,14423,19228,24033,28838
9,9,4814,9619,14424,19229,24034,28839
10,10,4815,9620,14425,19230,24035,28840
11,11,4816,9621,14426,19231,24036,28841
12,12,4817,9622,14427,19232,24037,28842
13,13,4818,9623,14428,19233,24038,28843
14,14,4819,9624,14429,19234,24039,28844
15,15,4820,9625,14430,19235,24040,28845
16,16,4821,9626,14431,19236,24041,28846
17,17,4822,9627,14432,19237,24042,28847
18,18,4823,9628,14433,19238,24043,28848
19,19,4824,9629,14434,19239,24044,28849
20,20,4825,9630,14435,19240,24045,28850
21,21,4826,9631,14436,19241,24046,28851
22,22,4827,9632,14437,19242,24047,28852
23,23,4828,9633,14438,19243,24048,28853
24,24,4829,9634,14439,19244,24049,28854
25,25,4830,9635,14440,19245,24050,28855
26,26,4831,9636,14441,19246,24051,28856
27,27,4832,9637,14442,19247,24052,28857
28,28,4833,9638,14443,19248,24053,28858
29,29,4834,9639,14444,19249,24054,28859
30,30,4835,9640,14445,19250,24055,28860
31,31,4836,9641,14446,19251,24056,28861
32,32,4837,9642,14447,19252,24057,28862
33,33,4838,9643,14448,19253,24058,28863
34,34,4839,9644,14449,19254,24059,28864
35,35,4840,9645,14450,19255,24060,28865
36,36,4841,9646,14451,19256,24061,28866
37,37,4842,9647,14452,19257,24062,28867
38,38,4843,9648,14453,19258,24063,28868
39,39,4844,9649,14454,19259,24064,28869
40,40,4845,9650,14455,19260,24065,28870
41,41,4846,9651,14456,19261,24066,28871
42,42,4847,9652,14457,19262,24067,28872
43,43,4848,9653,14458,19263,24068,28873
44,44,4849,9654,14459,19264,24069,28874
45,45,4850,9655,14460,19265,24070,28875
46,46,4851,9656,14461,19266,24071,28876
47,47,4852,9657,14462,19267,24072,28877
48,48,4853,9658,14463,19268,24073,28878
49,49,4854,9659,14464,19269,24074,28879
50,50,4855,9660,14465,19270,24075,28880
51,51,4856,9661,14466,19271,24076,28881
52,52,4857,9662,14467,19272,24077,28882
53,53,4858,9663,14468,19273,24078,28883
54,54,4859,9664,14469,19274,24079,28884
55,55,4860,9665,14470,19275,24080,28885
56,56,4861,9666,14471,19276,24081,28886
57,57,4862,9667,14472,19277,24082,28887
58,58,4863,9668,14473,19278,24083,28888
59,59,4864,9669,14474,19279,24084,28889
60,60,4865,9670,14475,19280,24085,28890
61,61,4866,9671,14476,19281,24086,28891
62,62,4867,9672,14477,19282,24087,28892
63,63,4868,9673,14478,19283,24088,28893
64,64,4869,9674,14479,19284,24089,28894
65,65,4870,9675,14480,19285,24090,28895
66,66,4871,9676,14481,19286,24091,28896
67,67,4872,9677,14482,19287,24092,28897
68,68,4873,9678,14483,19288,24093,28898
69,69,4874,9679,14484,19289,24094,28899
70,70,4875,9680,14485,19290,24095,28900
71,71,4876,9681,14486,19291,24096,28901
72,72,4877,9682,14487,19292,24097,28902
73,73,4878,9683,14488,19293,24098,28903
74,74,4879,9684,14489,19294,24099,28904
75,75,4880,9685,14490,19295,24100,28905
76,76,4881,9686,14491,19296,24101,28906
77,77,4882,9687,14492,19297,24102,28907
78,78,4883,9688,14493,19298,24103,28908
79,79,4884,9689,14494,19299,24104,28909
80,80,4885,9690,14495,19300,24105,28910
81,81,4886,9691,14496,19301,24106,28911
82,82,4887,9692,14497,19302,24107,28912
83,83,4888,9693,14498,19303,24108,28913
84,84,4889,9694,14499,19304,24109,28914
85,85,4890,9695,14500,19305,24110,28915
86,86,4891,9696,14501,19306,24111,28916
87,87,4892,9697,14502,19307,24112,28917
88,88,4893,9698,14503,19308,24113,28918
89,89,4894,9699,14504,19309,24114,28919
90,90,4895,9700,14505,19310,24115,28920
91,91,4896,9701,14506,19311,24116,28921
92,92,4897,9702,14507,19312,24117,28922
93,93,4898,9703,14508,19313,24118,28923
94,94,4899,9704,14509,19314,24119,28924
95,95,4900,9705,14510,19315,24120,28925
96,96,4901,9706,14511,19316,24121,28926
97,97,4902,9707,14512,19317,24122,28927
98,98,4903,9708,14513,19318,24123,28928
99,99,4904,9709,14514,19319,24124,28929
100,100,4905,9710,14515,19320,24125,28930
101,101,4906,9711,14516,19321,24126,28931
102,102,4907,9712,14517,19322,24127,28932
103,103,4908,9713,14518,19323,24128,28933
104,104,4909,9714,14519,19324,24129,28934
105,105,4910,9715,14520,19325,24130,28935
106,106,4911,9716,14521,19326,24131,28936
107,107,4912,9717,14522,19327,24132,28937
108,108,4913,9718,14523,19328,24133,28938
109,109,4914,9719,14524,19329,24134,28939
110,110,4915,9720,14525,19330,24135,28940
111,111,4916,9721,14526,19331,24136,28941
112,112,4917,9722,14527,19332,24137,28942
113,113,4918,9723,14528,19333,24138,28943
114,114,4919,9724,14529,19334,24139,28944
115,115,4920,9725,14530,19335,24140,28945
116,116,4921,9726,14531,19336,24141,28946
117,117,4922,9727,14532,19337,24142,28947
118,118,4923,9728,14533,19338,24143,28948
119,119,4924,9729,14534,19339,24144,28949
120,120,4925,9730,14535,19340,24145,28950
121,121,4926,9731,14536,19341,24146,28951
122,122,4927,9732,14537,19342,24147,28952
123,123,4928,9733,14538,19343,24148,28953
124,124,4929,9734,14539,19344,24149,28954
125,125,4930,9735,14540,19345,24150,28955
126,126,4931,9736,14541,19346,24151,28956
127,127,4932,9737,14542,19347,24152,28957
128,128,4933,9738,14543,19348,24153,28958
129,129,4934,9739,14544,19349,24154,28959
130,130,4935,9740,14545,19350,24155,28960
131,131,4936,9741,14546,19351,24156,28961
132,132,4937,9742,14547,19352,24157,28962
133,133,4938,9743,14548,19353,24158,28963
134,134,4939,9744,14549,19354,24159,28964
135,135,4940,9745,14550,19355,24160,28965
136,136,4941,9746,14551,19356,24161,28966
137,137,4942,9747,14552,19357,24162,28967
138,138,4943,9748,14553,19358,24163,28968
139,139,4944,9749,14554,19359,24164,28969
140,140,4945,9750,14555,19360,24165,28970
141,141,4946,9751,14556,19361,24166,28971
142,142,4947,9752,14557,19362,24167,28972
143,143,4948,9753,14558,19363,24168,28973
144,144,4949,9754,14559,19364,24169,28974
145,145,4950,9755,14560,19365,24170,28975
146,146,4951,9756,14561,19366,24171,28976
147,147,4952,9757,14562,19367,24172,28977
148,148,4953,9758,14563,19368,24173,28978
149,149,4954,9759,14564,19369,24174,28979
150,150,4955,9760,14565,19370,24175,28980
151,151,4956,9761,14566,19371,24176,28981
152,152,4957,9762,14567,19372,24177,28982
153,153,4958,9763,14568,19373,24178,28983
154,154,4959,9764,14569,19374,24179,28984
155,155,4960,9765,14570,19375,24180,28985
156,156,4961,9766,14571,19376,24181,28986
157,157,4962,9767,14572,19377,24182,28987
158,158,4963,9768,14573,19378,24183,28988
159,159,4964,9769,14574,19379,24184,28989
160,160,4965,9770,14575,19380,24185,28990
161,161,4966,9771,14576,19381,24186,28991
162,162,4967,9772,14577,19382,24187,28992
163,163,4968,9773,14578,19383,24188,28993
164,164,4969,9774,14579,19384,24189,28994
165,165,4970,9775,14580,19385,24190,28995
166,166,4971,9776,14581,19386,24191,28996
167,167,4972,9777,14582,19387,24192,28997
168,168,4973,9778,14583,19388,24193,28998
169,169,4974,9779,14584,19389,24194,28999
170,170,4975,9780,14585,19390,24195,29000
171,171,4976,9781,14586,19391,24196,29001
172,172,4977,9782,14587,19392,24197,29002
173,173,4978,9783,14588,19393,24198,29003
174,174,4979,9784,14589,19394,24199,29004
175,175,4980,9785,14590,19395,24200,29005
176,176,4981,9786,14591,19396,24201,29006
177,177,4982,9787,14592,19397,24202,29007
178,178,4983,9788,14593,19398,24203,29008
179,179,4984,9789,14594,19399,24204,29009
180,180,4985,9790,14595,19400,24205,29010
181,181,4986,9791,14596,19401,24206,29011
182,182,4987,9792,14597,19402,24207,29012
183,183,4988,9793,14598,19403,24208,29013
184,184,4989,9794,14599,19404,24209,29014
185,185,4990,9795,14600,19405,24210,29015
186,186,4991,9796,14601,19406,24211,29016
187,187,4992,9797,14602,19407,24212,29017
188,188,4993,9798,14603,19408,24213,29018
189,189,4994,9799,14604,19409,24214,29019
190,190,4995,9800,14605,19410,24215,29020
191,191,4996,9801,14606,19411,24216,29021
192,192,4997,9802,14607,19412,24217,29022
193,193,4998,9803,14608,19413,24218,29023
194,194,4999,9804,14609,19414,24219,29024
195,195,5000,9805,14610,19415,24220,29025
196,196,5001,9806,14611,19416,24221,29026
197,197,5002,9807,14612,19417,24222,29027
198,198,5003,9808,14613,19418,24223,29028
199,199,5004,9809,14614,19419,24224,29029
200,200,5005,9810,14615,19420,24225,29030
201,201,5006,9811,14616,19421,24226,29031
202,202,5007,9812,14617,19422,24227,29032
203,203,5008,9813,14618,19423,24228,29033
204,204,5009,9814,14619,19424,24229,29034
205,205,5010,9815,14620,19425,24230,29035
206,206,5011,9816,14621,19426,24231,29036
207,207,5012,9817,14622,19427,24232,29037
208,208,5013,9818,14623,19428,24233,29038
209,209,5014,9819,14624,19429,24234,29039
210,210,5015,9820,14625,19430,24235,29040
211,211,5016,9821,14626,19431,24236,29041
212,212,5017,9822,14627,19432,24237,29042
213,213,5018,9823,14628,19433,24238,29043
214,214,5019,9824,14629,19434,24239,29044
215,215,5020,9825,14630,19435,24240,29045
216,216,5021,9826,14631,19436,24241,29046
217,217,5022,9827,14632,19437,24242,29047
218,218,5023,9828,14633,19438,24243,29048
219,219,5024,9829,14634,19439,24244,29049
220,220,5025,9830,14635,19440,24245,29050
221,221,5026,9831,14636,19441,24246,29051
222,222,5027,9832,14637,19442,24247,29052
223,223,5028,9833,14638,19443,24248,29053
224,224,5029,9834,14639,19444,24249,29054
225,225,5030,9835,14640,19445,24250,29055
226,226,5031,9836,14641,19446,24251,29056
