id,specialty
14001,33
14002,11
14003,21
14004,30
14005,24
14006,40
14007,37
14008,1
14009,7
14010,16
14011,10
14012,36
14013,14
14014,12
14015,23
14016,33
14017,28
14018,25
14019,38
14020,10
14021,7
14022,22
14023,4
14024,11
14025,20
14026,11
14027,15
14028,3
14029,2
14030,31
14031,3
14032,2
14033,28
14034,16
14035,11
14036,8
14037,5
14038,40
14039,19
14040,26
14041,21
14042,35
14043,6
14044,3
14045,32
14046,40
14047,32
14048,12
14049,30
14050,39
14051,40
14052,40
14053,26
14054,7
14055,20
14056,7
14057,36
14058,39
14059,12
14060,19
14061,25
14062,33
14063,12
14064,30
14065,32
14066,29
14067,35
14068,19
14069,6
14070,23
14071,33
14072,37
14073,22
14074,13
14075,4
14076,37
14077,35
14078,29
14079,24
14080,22
14081,34
14082,3
14083,10
14084,27
14085,5
14086,22
14087,18
14088,21
14089,2
14090,30
14091,34
14092,17
14093,24
14094,14
14095,25
14096,27
14097,35
14098,26
14099,3
14100,26
14101,24
14102,10
14103,13
14104,12
14105,10
14106,1
14107,27
14108,13
14109,1
14110,4
14111,13
14112,17
14113,16
14114,32
14115,2
14116,27
14117,14
14118,12
14119,2
14120,22
14121,35
14122,11
14123,30
14124,28
14125,4
14126,22
14127,37
14128,16
14129,26
14130,22
14131,20
14132,6
14133,36
14134,13
14135,25
14136,1
14137,25
14138,15
14139,11
14140,18
14141,19
14142,15
14143,14
14144,13
14145,18
14146,23
14147,7
14148,30
14149,36
14150,7
14151,39
14152,36
14153,9
14154,25
14155,30
14156,30
14157,34
14158,35
14159,38
14160,12
14161,20
14162,31
14163,6
14164,23
14165,6
14166,31
14167,29
14168,3
14169,17
14170,32
14171,29
14172,21
14173,15
14174,37
14175,33
14176,17
14177,8
14178,9
14179,15
14180,19
14181,12
14182,20
14183,33
14184,31
14185,31
14186,33
14187,10
14188,30
14189,3
14190,18
14191,30
14192,37
14193,37
14194,8
14195,26
14196,14
14197,33
14198,17
14199,19
14200,12
14201,3
14202,14
14203,24
14204,12
14205,32
14206,27
14207,29
14208,1
14209,29
14210,38
14211,31
14212,1
14213,29
14214,30
14215,40
14216,3
14217,36
14218,8
14219,21
14220,36
14221,30
14222,26
14223,9
14224,21
14225,34
14226,29
14227,27
14228,5
14229,28
14230,37
14231,24
14232,34
14233,20
14234,13
14235,35
14236,3
14237,32
14238,6
14239,38
14240,14
14241,11
14242,35
14243,7
14244,10
14245,34
14246,6
14247,17
14248,36
14249,40
14250,29
14251,24
14252,10
14253,26
14254,18
14255,4
14256,12
14257,11
14258,11
14259,17
14260,28
14261,35
14262,21
14263,40
14264,23
14265,30
14266,13
14267,14
14268,35
14269,21
14270,40
14271,40
14272,38
14273,37
14274,14
14275,28
14276,4
14277,15
14278,16
14279,33
14280,32
14281,15
14282,39
14283,27
14284,30
14285,29
14286,2
14287,6
14288,34
14289,18
14290,7
14291,20
14292,1
14293,13
14294,26
14295,28
14296,27
14297,37
14298,28
14299,32
14300,19
14301,18
14302,30
14303,28
14304,5
14305,14
14306,4
14307,8
14308,27
14309,33
14310,8
14311,19
14312,33
14313,16
14314,14
14315,6
14316,24
14317,12
14318,35
14319,16
14320,23
14321,2
14322,27
14323,22
14324,24
14325,35
14326,25
14327,8
14328,23
14329,23
14330,21
14331,5
14332,13
14333,27
14334,17
14335,26
14336,9
14337,27
14338,34
14339,18
14340,3
14341,26
14342,17
14343,23
14344,7
14345,10
14346,20
14347,16
14348,29
14349,36
14350,6
14351,33
14352,17
14353,36
14354,38
14355,25
14356,38
14357,37
14358,9
14359,38
14360,16
14361,15
14362,5
14363,21
14364,14
14365,22
14366,8
14367,38
14368,15
14369,27
14370,32
14371,19
14372,32
14373,8
14374,32
14375,4
14376,21
14377,33
14378,30
14379,11
14380,6
14381,12
14382,34
14383,6
14384,36
14385,31
14386,16
14387,35
14388,23
14389,5
14390,14
14391,35
14392,18
14393,36
14394,17
14395,40
14396,24
14397,9
14398,16
14399,14
14400,13
14401,1
14402,4
14403,18
14404,22
14405,4
14406,8
14407,29
14408,8
14409,15
14410,30
14411,37
14412,31
14413,8
14414,2
14415,7
14416,2
14417,40
14418,23
14419,20
14420,13
14421,39
14422,29
14423,4
14424,34
14425,15
14426,7
14427,30
14428,31
14429,20
14430,5
14431,6
14432,30
14433,24
14434,37
14435,15
14436,38
14437,19
14438,4
14439,32
14440,34
14441,17
14442,37
14443,37
14444,20
14445,1
14446,19
